App,Category,Rating,Reviews,Size_in_MB,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
DM for WhatsApp,COMMUNICATION,4.4,25,2.9,Free,0.0,Everyone,Communication,2018-06-03,4.4
Wemep - Special price representative (special / shopping / shopping app / coupon / shipping),SHOPPING,4.5,178497,9.1,Free,0.0,Everyone,Shopping,2018-08-02,3.0
Nights at Slender Pizzeria 3D,GAME,4.1,2628,45.0,Free,0.0,Teen,Adventure,2017-05-22,4.2
Easy Voice Recorder,PRODUCTIVITY,4.4,205191,7.1,Free,0.0,Everyone,Productivity,2018-06-20,4.1
Bitcoin BX Thailand PRO,FINANCE,1.7,21,21.0,Paid,4.99,Everyone,Finance,2017-10-22,3.0
PokeType - Dex,FAMILY,4.6,36813,33.0,Free,0.0,Everyone,Entertainment,2018-05-01,4.1
Nights Keeper (do not disturb),LIFESTYLE,4.5,16426,1.6,Free,0.0,Everyone,Lifestyle,2017-02-26,2.2
NASCAR MOBILE,SPORTS,4.2,80900,21.0,Free,0.0,Everyone,Sports,2018-07-25,4.4
FK Vozdovac,SPORTS,4.22,1,26.0,Free,0.0,Everyone,Sports,2018-02-19,4.1
Travelmoji,FAMILY,3.9,13,10.0,Free,0.0,Everyone,Education,2016-06-24,4.3
SLANGY-Perfect BK World Theme,PERSONALIZATION,4.33,1,14.0,Paid,4.85,Everyone,Personalization,2013-09-11,2.2
dk Verk,BUSINESS,4.4,9,31.0,Free,0.0,Everyone,Business,2018-03-14,4.1
Hyundai CX Conference,COMMUNICATION,4.12,0,20.0,Free,0.0,Everyone,Communication,2018-05-27,4.2
SW Battlefront Companion,FAMILY,4.4,93870,79.0,Free,0.0,Everyone,Strategy,2016-02-03,4.0
Color CL,LIFESTYLE,5.0,2,1.3,Free,0.0,Everyone,Lifestyle,2017-02-02,3.0
Infinite Painter,ART_AND_DESIGN,4.1,36815,29.0,Free,0.0,Everyone,Art & Design,2018-06-14,4.2
Courier Journal,NEWS_AND_MAGAZINES,3.5,254,38.0,Free,0.0,Everyone 10+,News & Magazines,2018-06-20,5.0
Ninja Dash - Ronin Jump RPG,FAMILY,4.7,8508,54.0,Free,0.0,Everyone 10+,Arcade;Action & Adventure,2018-08-02,3.0
Where's My Water?,FAMILY,4.7,188740,69.0,Paid,1.99,Everyone,Puzzle;Brain Games,2018-07-05,4.2
Safest Call Blocker,COMMUNICATION,4.4,27540,3.7,Free,0.0,Everyone,Communication,2018-01-05,4.0
Advanced EX for RENAULT,TOOLS,2.8,130,0.14,Paid,4.99,Everyone,Tools,2015-03-14,1.6
AE Air Hockey,SPORTS,3.8,926,7.6,Free,0.0,Everyone,Sports,2013-08-01,2.2
To Do List,PRODUCTIVITY,4.7,253155,3.5,Free,0.0,Everyone,Productivity,2018-03-19,4.0
Walking for Weight Loss - Walk Tracker,HEALTH_AND_FITNESS,4.5,644,5.5,Free,0.0,Everyone,Health & Fitness,2018-07-25,4.1
ePazar.bg,SHOPPING,4.23,28,2.1,Free,0.0,Everyone,Shopping,2017-01-07,3.0
AJ Tracey Music and Lyrics,FAMILY,4.18,0,2.7,Free,0.0,Teen,Entertainment,2018-06-07,3.0
CV Builder for Smart Resumes,BUSINESS,3.4,22,4.1,Free,0.0,Everyone,Business,2017-05-23,3.0
Dr.Dice - Sic bo analyzer,FAMILY,4.18,2,8.5,Paid,46.99,Everyone,Entertainment,2016-11-05,3.0
BF 3d Images,FAMILY,4.3,19,2.5,Free,0.0,Teen,Entertainment,2015-06-17,3.0
Moana Island Life,FAMILY,4.1,15246,78.0,Free,0.0,Everyone,Simulation;Action & Adventure,2017-07-12,4.0
Sanu Ek Pal Chain Song Videos - RAID Movie Songs,FAMILY,4.9,11,4.3,Free,0.0,Everyone,Entertainment,2018-03-08,3.0
It's open.,PARENTING,4.4,1528,16.0,Free,0.0,Everyone,Parenting,2018-07-24,4.4
Cisco Webex Teams,BUSINESS,4.2,1661,46.0,Free,0.0,Everyone,Business,2018-08-02,4.4
H letter images,SOCIAL,4.25,17,8.5,Free,0.0,Teen,Social,2018-06-28,3.0
MB Notifications for FB (Free),SOCIAL,3.9,3047,1.5,Free,0.0,Teen,Social,2015-04-29,2.3
Henry Danger Crime Warp,FAMILY,4.6,9626,28.0,Free,0.0,Everyone,Action;Action & Adventure,2018-02-07,4.4
FANDOM for: GTA,FAMILY,3.9,39038,9.5,Free,0.0,Mature 17+,Entertainment,2018-06-06,4.4
Surah Al-Waqiah,BOOKS_AND_REFERENCE,4.7,1201,2.9,Free,0.0,Everyone,Books & Reference,2015-06-24,2.3
CE SODEXO PASS FRANCE,PRODUCTIVITY,4.18,0,21.0,Free,0.0,Everyone,Productivity,2018-06-06,4.1
Bonjour 2017 Abidjan CI ❤❤❤❤❤,FAMILY,4.18,235,3.3,Free,0.0,Everyone,Entertainment,2017-02-16,2.0
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5,Free,0.0,Everyone 10+,Books & Reference,2017-07-31,4.0
Red River CU,FINANCE,3.3,343,2.3,Free,0.0,Everyone,Finance,2017-06-21,2.2
CX Summit,PRODUCTIVITY,4.18,1,17.0,Free,0.0,Teen,Productivity,2017-09-20,4.2
"Avast Cleanup & Boost, Phone Cleaner, Optimizer",TOOLS,4.5,648380,24.0,Free,0.0,Everyone,Tools,2018-08-01,4.1
Blood Glucose Tracker,HEALTH_AND_FITNESS,4.6,9612,3.5,Free,0.0,Everyone,Health & Fitness,2018-05-18,4.4
EO LAC,LIFESTYLE,4.09,0,18.0,Free,0.0,Everyone,Lifestyle,2017-01-17,4.1
HD VideoDownlaoder For Fb : XXVideo Downloader,VIDEO_PLAYERS,4.2,61,6.1,Free,0.0,Everyone,Video Players & Editors,2018-07-30,3.0
FreshBooks Classic,BUSINESS,4.1,1802,26.0,Free,0.0,Everyone,Business,2018-04-18,4.2
Sway Medical,MEDICAL,5.0,3,22.0,Free,0.0,Everyone,Medical,2018-07-25,5.0
My Chakra Meditation,HEALTH_AND_FITNESS,4.4,7586,45.0,Free,0.0,Everyone,Health & Fitness,2018-04-10,2.3
EO,BUSINESS,4.1,0,3.1,Free,0.0,Everyone,Business,2015-07-01,3.0
B y H Niños ES,BOOKS_AND_REFERENCE,4.6,53,16.0,Free,0.0,Everyone,Books & Reference,2015-09-22,2.3
Best Hairstyles step by step,BEAUTY,4.5,45452,9.2,Free,0.0,Everyone,Beauty,2018-07-19,4.0
Ben 10: Alien Experience,FAMILY,4.2,82005,45.0,Free,0.0,Everyone 10+,Action;Action & Adventure,2017-10-24,4.4
Capital Bk Mobile Business Dep,FINANCE,4.12,1,4.1,Free,0.0,Everyone,Finance,2016-02-03,4.1
Bus Rush: Subway Edition,GAME,4.1,753043,57.0,Free,0.0,Teen,Action,2018-08-01,3.0
Amex Mobile,FINANCE,4.3,24729,32.0,Free,0.0,Everyone,Finance,2018-08-03,5.0
Aab e Hayat Full Novel,BOOKS_AND_REFERENCE,4.3,1476,41.0,Free,0.0,Everyone,Books & Reference,2017-02-21,3.0
BD Hospital's,FAMILY,4.7,12,2.3,Free,0.0,Everyone,Education,2015-10-07,3.0
Elif Ba Oyunu,TOOLS,3.7,26,2.2,Free,0.0,Everyone,Tools,2015-11-02,2.3
Vargo Anesthesia Mega App,MEDICAL,4.6,92,32.0,Paid,79.99,Everyone,Medical,2018-06-18,3.0
BV Forest,BUSINESS,4.1,0,2.9,Free,0.0,Everyone,Business,2018-05-09,4.4
Meditate OM,HEALTH_AND_FITNESS,4.5,19074,4.2,Free,0.0,Everyone,Health & Fitness,2018-01-17,4.0
Funny Quotes Free,ENTERTAINMENT,4.2,23666,3.6,Free,0.0,Teen,Entertainment,2018-05-04,4.0
Live Chat - Free Video Talk,DATING,4.7,14,21.0,Free,0.0,Mature 17+,Dating,2018-08-03,4.1
OFF-ROAD SIMULATOR 4x4 : REAL,FAMILY,4.2,109,25.0,Free,0.0,Everyone,Simulation,2017-04-15,2.3
Camping RV Caravan Parking 3D,GAME,3.3,5290,48.0,Free,0.0,Everyone,Racing,2014-12-18,2.3
Language Therapy: Aphasia,MEDICAL,4.17,10,28.0,Paid,74.99,Everyone,Medical,2018-06-25,3.0
Advanced Comprehension Therapy,MEDICAL,4.17,3,62.0,Paid,24.99,Everyone,Medical,2017-10-05,3.0
Resume Builder - Curriculum Vitae & Resume Maker,BUSINESS,4.0,12,8.1,Free,0.0,Everyone,Business,2018-06-07,3.0
Thomas & Friends: Race On!,FAMILY,4.1,29319,26.0,Free,0.0,Everyone,Casual;Action & Adventure,2018-05-18,4.4
CQ Mobile,FINANCE,2.7,36,18.0,Free,0.0,Everyone,Finance,2018-07-10,3.8298220146427666
Manga AZ - Manga Comic Reader,COMICS,3.3,126,4.7,Free,0.0,Teen,Comics,2018-07-24,3.0
AppLock - Fingerprint Unlock,TOOLS,4.5,112482,2.1,Free,0.0,Everyone,Tools,2018-07-10,4.0
Shabad Gurubani Punjabi mp3 free - Ek Onkar Satnam,FAMILY,5.0,5,64.0,Free,0.0,Everyone,Entertainment,2018-01-19,4.4
i miss you quotes and photos,DATING,3.97,0,5.0,Free,0.0,Everyone,Dating,2018-07-22,4.0
CQ-Alert,COMMUNICATION,4.12,3,8.1,Free,0.0,Everyone,Communication,2016-11-28,4.0
MultiMessage for FB Messenger,PRODUCTIVITY,4.2,182,7.0,Free,0.0,Everyone,Productivity,2018-04-28,4.2
DQ Akses,TOOLS,4.04,0,2.6,Free,0.0,Everyone,Tools,2018-07-06,2.1
